code,name,city
AAB,Arrabury Airport,Tanbar
AAC,El Arish International Airport,Arish
AAD,Adado,Adado
AAE,Les Salines Airport,El Hadjar
AAF,Apalachicola Regional,Apalachicola
AAG,Arapoti,Jaguariaiva
AAI,Arraias,Campos Belos
AAJ,Cayana Airstrip,Kajana
AAL,Aalborg Airport,Vadum
AAO,Anaco,Anaco
AAQ,Anapa Airport,Anapa
AAR,Aarhus Airport,Ebeltoft
AAT,Altay Airport,Awiytan
AAU,Asau,Asau
AAV,Allah Valley,Surallah
AAW,Abbottabad,Abbottabad
AAX,Araxa Airport,Araxa
AAY,Al Ghaydah,Al Ghayzah
AAZ,Quetzaltenango,Olintepeque
ABA,Abakan Airport,Podsineye
ABB,Asaba International Airport,Asaba
ABD,Abadan Airport,Abadan
ABE,Lehigh Valley International Airport,Catasauqua
ABF,Abaiang,Buota Village
ABJ,Felix Houphouet Boigny Airport,Abidjan
ABO,Aboisso,Aboisso
ABQ,Albuquerque International Sunport,Albuquerque
ABR,Aberdeen Municipal Airport,Aberdeen
ABT,Al-Aqiq Airport,Al Bahah
ABU,Haliwen Airport,Atambua
ABV,Nnamdi Azikiwe International Airport,Madala
ABX,Albury Airport,East Albury
ABZ,Aberdeen International Airport,Dyce
ACA,Acapulco International Airport,10 de Abril
ACB,Antrim County,Bellaire
ACC,Kotoka International Airport,Accra
ACE,Lanzarote Airport,Tias
ACF,Alaer Talimu Airport,Aral
ACH,Altenrhein Airport,Rheineck
ACI,Alderney Airport,Beaumont-Hague
ACJ,Anuradhapura,Anuradhapura
ACK,Nantucket Memorial Airport,Nantucket
ACL,Aguaclara,Sabanalarga
ACM,Arica,Pebas
ACP,Sahand,Bonab
ACS,Achinsk,Achinsk
ACT,Waco Municipal Airport,Gholson
ACU,Achutupo,Portobelo
ACV,Arcata-Eureka Airport,McKinleyville
ACX,Xingyi Airport,Xinzhou
ACY,Atlantic City International Airport,Pomona
ACZ,Zabol Airport,Zabol
ADA,Adana Airport,Seyhan
ADD,Addis Ababa Bole International Airport,Addis Ababa
ADE,International,Khawr Maksar
ADF,Adiyaman Airport,Adiyaman
ADG,Lenawee County,Adrian
ADH,Aldan,Aldan
ADI,Arandis,Arandis
ADJ,Marka International Airport,Amman
ADL,Adelaide Airport,Plympton
